,Phase,Formula,SG,Entry,Property,Units,Value
34819,79311,Ba2Mn3Sb2O2,139,P20071202-6,energy gap,eV,4.0
34820,79317,In0.1Ge0.8Sb0.033Te,225,P20071208-6,energy gap,eV,5.3
34821,79319,MoMn[SeO3]O3[H2O],2,P20071211-6,energy gap,eV,4.6
34822,79320,CsBe4[BO3]3,62,P20071209-6,energy gap,eV,4.8
34823,79325,Sr0.75Cu0.5La0.25Ta0.5O2.88,221,P20071218-6,energy gap,eV,4.5
34824,79327,SrCu0.5Ta0.5O2.74,221,P20071217-6,energy gap,eV,3.2
34825,79330,Mg0.05Nd0.95NiO2.73,62,P20071221-6,energy gap,eV,4.3
34826,79333,La0.5Ho0.5CoO3,62,P20071224-6,energy gap,eV,3.4
34827,79334,CaYCeGa5O12,230,P20071226-6,energy gap,eV,4.7
34828,79335,CaYPrGa5O12,230,P20071227-6,energy gap,eV,4.6
34829,79338,CaYTbGa5O12,230,P20071228-6,energy gap,eV,4.6
34830,79343,Tb0.15Ho0.85Fe1.8Al0.2,227,P20071233-6,energy gap,eV,3.0
34831,79349,La0.88Tm0.12Ta7O19,188,P20071235-6,energy gap,eV,4.1
34832,79352,Li3[SO3N],31,P20071238-6,energy gap,eV,4.9
34833,79355,MnCo[P2O7],12,P20071241-6,energy gap,eV,4.6
34834,79356,Mn0.82Ni1.18[P2O7],8,P20071242-6,energy gap,eV,5.0
34835,79357,Cu0.92Mn1.08[P2O7],12,P20071243-6,energy gap,eV,4.8
34836,79363,Ca0.40Cd1.60[P2O7],2,P20071248-6,energy gap,eV,3.9
34837,79364,SrCd[P2O7],14,P20071249-6,energy gap,eV,5.0
34838,79370,Zn0.456CeSi1.544,141,P20071246-6,energy gap,eV,4.3
34839,79375,CsLiCo2Si4O10F2,12,P20071254-6,energy gap,eV,4.7
34840,79376,Na3Fe[PO4][CO3],11,P20071260-6,energy gap,eV,4.2
34841,79377,BaYb6Si3[Si2O7]2O10,11,P20071255-6,energy gap,eV,4.8
34842,79380,NaAl[SiO4],4,P20071258-6,energy gap,eV,5.1
34843,79381,K0.7Mg2Fe0.5Al4.2Si10.3O30,192,P20071261-6,energy gap,eV,4.5
34844,79382,Cu5[AsO4][OH]7[H2O]4,31,P20071259-6,energy gap,eV,4.9
34845,79383,K0.32Na1.72Ca0.8Cu0.64Zn0.16Mn0.14Fe0.9Al0.26[AsO4]3,15,P20071263-6,energy gap,eV,4.6
34846,79385,CaLaVFeAl[SiO4][Si2O7]O[OH],11,P20071264-6,energy gap,eV,4.4
34847,79387,CuAl4[SO4][OH]12[H2O]3,14,P20071267-6,energy gap,eV,3.9
34848,79388,H2Ca2CuAl[AsO4]3[OH]2[H2O]5,2,P20071266-6,energy gap,eV,4.7
34849,79389,CaPbSb2O7,227,P20071268-6,energy gap,eV,4.3
34850,79391,PbI[OH],62,P20071269-6,energy gap,eV,4.8
34851,79393,H4Ca[AsO4]2,2,P20071271-6,energy gap,eV,3.7
34852,79395,H8U[AsO4]4[H2O]4,2,P20071272-6,energy gap,eV,5.1
34853,79397,Bi2[SO4]O[OH]2,14,P20071276-6,energy gap,eV,5.5
34854,79399,CaMg2Ga4SiO10[OH]2,12,P20071278-6,energy gap,eV,3.7
34855,79400,CaMg2Al4Ge0.5Si0.5O10[OH]2,12,P20071279-6,energy gap,eV,5.0
34856,79401,CaMgNiAl4SiO10[OH]2,12,P20071280-6,energy gap,eV,3.8
34857,79402,CaNi2Al4SiO10[OH]2,12,P20071281-6,energy gap,eV,4.3
34858,79403,CaMg2Al4GeO10[OH]2,12,P20071282-6,energy gap,eV,4.2
34859,79404,CaMg2AlGa3GeO10[OH]2,12,P20071283-6,energy gap,eV,3.7
34860,79406,CaMg2Ga4GeO10[OH]2,12,P20071284-6,energy gap,eV,3.8
34861,79407,Fe1.4Al14.6[AsO4]9[OH]21[H2O]37,5,P20071286-6,energy gap,eV,5.7
34862,79408,Ca2Sb2O7,227,P20071289-6,energy gap,eV,5.1
34863,79409,Mg0.3Cu1.7Cl[OH]3,148,P20071287-6,energy gap,eV,4.6
34864,79410,Ag2.9Tl0.04Pb9.31Sb8.12As11.26S40.37,14,P20071288-6,energy gap,eV,5.1
34865,79413,HNa5[UO2][SO4]4[H2O],2,P20071290-6,energy gap,eV,4.9
34866,79414,Na0.81Ca1.07Ta1.84Nb0.14Sn0.02O5.93[OH]0.28F0.79,227,P20071293-6,energy gap,eV,4.9
34867,79415,Na6.35Li2Ca0.3Y5Dy0.65[PO4]6[CO3]2[OH]0.5F3.5,16,P20071294-6,energy gap,eV,4.9
34868,79416,H2Ga2[C6C6O12][OH]2[H2O]2,63,P20071296-6,energy gap,eV,4.7
34869,79418,H2Al2[C6C6O12][OH]2[H2O]2,63,P20071295-6,energy gap,eV,4.8
34870,79419,Na0.5Y4.365Ce0.135[SiO4]3O,176,P20071300-6,energy gap,eV,4.9
34871,79423,BaCu0.34Mn0.66[P2O7],2,P20071298-6,energy gap,eV,4.3
34872,79425,Li4[P2O6][H2O]6,206,P20071303-6,energy gap,eV,4.9
34873,79426,C6F10,14,P20071304-5,energy gap,eV,5.4
34874,79426,C8F8,14,P20078724-6,energy gap,eV,5.2
34875,79427,Cu2Lu4AlB9O23,18,P20071308-6,energy gap,eV,4.8
34876,79428,H0.46Ca0.15La0.1Y0.1Th0.21Ti0.2Nb0.2Al0.1Si0.5O2.3[OH]1.7,141,P20071305-6,energy gap,eV,3.4
34877,79429,Sb2S2O,2,P20071307-6,energy gap,eV,5.1
34878,79432,Ag0.62Cu1.26Pb0.16Bi5.09Sb0.01Te0.01Se0.04S8.95,12,P20071310-6,energy gap,eV,5.1
34879,79434,Tl1.70Pb1.60Sb8.80As0.90S17,2,P20071313-6,energy gap,eV,5.2
34880,79435,Al2[SO4]Cl[OH]3[H2O]6,15,P20071312-6,energy gap,eV,5.2
34881,79441,NdMn0.2Fe1.8Ge2,139,P20071319-6,energy gap,eV,3.3
34882,79444,RbSc[CrO4]2,62,P20071321-6,energy gap,eV,4.1
34883,79448,RbNa5W2N6,14,P20071324-6,energy gap,eV,4.2
34884,79449,La0.156Y0.044Gd0.8Te,225,P20071327-6,energy gap,eV,4.8
34885,79450,CsNa5W2N6,14,P20071325-6,energy gap,eV,4.0
34886,79451,NaAuSe,141,P20071326-6,energy gap,eV,4.2
34887,79457,Ce3NCl6,14,P20071331-6,energy gap,eV,6.7
34888,79458,[CN3H6]2TeCl6,2,P20071333-6,energy gap,eV,4.7
34889,79459,Zr0.9Ti0.1V0.5Fe1.5,194,P20071329-6,energy gap,eV,3.8
34890,79462,TlEu[SO4]2[H2O]4,14,P20071338-6,energy gap,eV,5.3
34891,79463,TlGd[SO4]2[H2O]4,14,P20071339-6,energy gap,eV,5.4
34892,79465,TlSm[SO4]2[H2O]4,14,P20071337-6,energy gap,eV,5.4
34893,79467,TlDy[SO4]2[H2O]4,14,P20071341-6,energy gap,eV,5.1
34894,79468,Cr0.833Ni0.167Sn2,180,P20071342-6,energy gap,eV,3.8
34895,79469,Cr0.75Ni0.25Sn2,140,P20071343-6,energy gap,eV,3.2
34896,79471,Cu4U3Ge4,71,P20071344-5,energy gap,eV,3.8
34897,79477,Li0.75Cu0.5In2.5S4,227,P20071350-6,energy gap,eV,3.7
34898,79485,MgBr2[H2O]9,15,P20071359-6,energy gap,eV,4.6
34899,79487,MgCl2[H2O]12,14,P20071358-6,energy gap,eV,3.7
34900,79488,MgCl2[H2O]8,61,P20071361-6,energy gap,eV,5.7
34901,79489,MgI2[H2O]8,64,P20071362-6,energy gap,eV,4.8
34902,79490,RhCl3[NH3]3,11,P20071366-6,energy gap,eV,5.3
34903,79491,KYb[BH4]4,63,P20071364-6,energy gap,eV,4.8
34904,79492,Rh[NO3]3[NH3]3,143,P20071367-6,energy gap,eV,4.3
34905,79493,Rb3.695Eu0.305In4.44Ge18.56,223,P20071368-6,energy gap,eV,3.4
34906,79496,TbMnGe,62,P20071369-6,energy gap,eV,3.9
34907,79507,Ca0.82La0.18FeAs2,4,P20071377-6,energy gap,eV,3.5
34908,79510,NdBiS2O0.5F0.5,129,P20071383-6,energy gap,eV,5.2
34909,79512,BaTi2Bi2O,123,P20071387-6,energy gap,eV,5.0
34910,79513,Sr2Ti2Bi2OF2,139,P20071388-6,energy gap,eV,4.8
34911,79518,RbV3[SO4]2[OH]6,166,P20071394-6,energy gap,eV,4.9
34912,79519,Cu3[MoO4]2O,2,P20071390-6,energy gap,eV,4.2
34913,79520,KV3[SO4]2[OH]6,166,P20071393-6,energy gap,eV,4.3
34914,79521,TlV3[SO4]2[OH]6,166,P20071395-6,energy gap,eV,5.0
34915,79522,BaHoFe2O5,51,P20071396-6,energy gap,eV,4.7
34916,79525,NaMgCr[MoO4]3,167,P20071399-6,energy gap,eV,4.6
34917,79526,Li0.8Ba2Te1.2O6,225,P20071400-6,energy gap,eV,4.6
34918,79529,Ba2CaMoO6,225,P20071402-6,energy gap,eV,5.1
34919,79538,W0.5Mo0.5Se0.5S1.5,194,P20071406-6,energy gap,eV,4.3
34920,79539,Sr0.9Ce0.1FeO2.6,221,P20071408-6,energy gap,eV,3.5
34921,79541,La0.5Eu0.5Ta7O19,193,P20071405-6,energy gap,eV,4.9
34922,79551,Sr0.2Mg0.15La0.8Co0.05Ga0.8O2.8,167,P20071412-6,energy gap,eV,3.7
34923,79552,Sr0.5La0.5Co0.9Ga0.1O3,167,P20071413-6,energy gap,eV,3.9
34924,79556,BaTi2Sn0.2Sb1.8O,123,P20071414-6,energy gap,eV,4.4
34925,79557,SrSiO3,221,P20071415-6,energy gap,eV,4.1
34926,79558,Ni1.86Al0.34Ge0.66,194,P20071417-6,energy gap,eV,2.9
34927,79561,Mg3TiNi2H2.6,227,P20071420-6,energy gap,eV,4.2
34928,79562,TlMnP3O9,62,P20071421-6,energy gap,eV,4.9
34929,79563,HTlGaP3O10,15,P20071423-6,energy gap,eV,5.2
34930,79564,TlTa[PO4]2,150,P20071422-6,energy gap,eV,4.7
34931,79566,H2Li[NH4]4Zr3F19,14,P20071424-6,energy gap,eV,6.4
34932,79572,Pd3[SO3]3[NH3]9[H2O],2,P20071430-6,energy gap,eV,4.6
34933,79573,Ca4Al8[SiO4]8[H2O]12,19,P20071431-6,energy gap,eV,4.8
34934,79576,Ca4Al8[SiO4]8[H2O]8,19,P20071432-6,energy gap,eV,4.6
34935,79578,NpW12[SiO4]O36[CON2H4]10[H2O],15,P20071436-6,energy gap,eV,5.0
34936,79579,Zn1.25Zr0.25Fe1.5O4,227,P20071438-6,energy gap,eV,4.6
34937,79580,Zn1.45Zr0.45Fe1.1O4,141,P20071437-6,energy gap,eV,4.3
34938,79582,Sc0.2CoGa1.8S4,164,P20071441-6,energy gap,eV,3.8
34939,79583,ZnScGaS4,164,P20071442-6,energy gap,eV,4.3
34940,79584,NpSe,225,P20071439-5,energy gap,eV,4.9
34941,79585,NpSe,221,P20071440-6,energy gap,eV,2.3
34942,79587,K0.5Ca0.5Y0.5[PO4],180,P20071444-6,energy gap,eV,4.7
34943,79588,Be3Cr0.21Al1.79Si6O18,192,P20071445-6,energy gap,eV,4.6
34944,79592,Sr2TaInO6,87,P20071449-6,energy gap,eV,3.9
34945,79593,Sr2TaInO6,225,P20071450-6,energy gap,eV,4.0
34946,79595,Ag3AuSe1.85S0.15,214,P20071452-6,energy gap,eV,3.6
34947,79596,[NpO2][NO3][CON2H4]5,4,P20071454-6,energy gap,eV,4.3
34948,79597,Pr3Ti2TaO11,26,P20071455-6,energy gap,eV,4.3
34949,79599,Zn2[SiO4],61,P20071458-6,energy gap,eV,4.7
34950,79600,TiO2,14,P20071459-5,energy gap,eV,4.1
34951,79603,Zn2[SiO4],62,P20071457-6,energy gap,eV,5.2
34952,79604,Ce0.747Pr0.1Sm0.153O1.915,225,P20071461-5,energy gap,eV,3.8
34953,79608,Eu0.53Zr0.45Mn0.02O1.73,225,P20071462-6,energy gap,eV,4.5
34954,79612,Na0.67Mn0.85Co0.15O2,63,P20071467-6,energy gap,eV,3.2
34955,79614,Li1.33Mn0.67O2,166,P20071466-6,energy gap,eV,3.8
34956,79615,Sr0.1La0.9InO2.95,62,P20071471-6,energy gap,eV,4.2
34957,79622,Sr0.1Mg0.2La0.9Cr0.08Ga0.72O2.85,221,P20071475-6,energy gap,eV,4.6
34958,79623,Nb14W3O44,82,P20071477-6,energy gap,eV,4.2
34959,79626,Ce0.3Bi0.7O1.65,225,P20071479-4,energy gap,eV,3.2
34960,79629,Cu2LaSb3S7,62,P20071480-6,energy gap,eV,4.2
34961,79632,H4Tl2[PHO3]3,2,P20071484-6,energy gap,eV,5.3
34962,79633,H4Rb2[PHO3]3,2,P20071483-6,energy gap,eV,4.9
34963,79634,H3Cs[PHO3]2,15,P20071487-6,energy gap,eV,5.3
34964,79635,Mo6CoAlO18[OH]6[H2O]16,2,P20071482-6,energy gap,eV,4.7
34965,79636,H3Cs[PHO3]2,19,P20071486-6,energy gap,eV,5.4
34966,79637,HRb[PHO3],14,P20071488-6,energy gap,eV,4.9
34967,79638,HTl[PHO3],33,P20071490-6,energy gap,eV,5.0
34968,79639,HCs[PHO3],14,P20071489-6,energy gap,eV,5.1
34969,79641,[NH4]3Sb4F15,2,P20071491-6,energy gap,eV,6.2
34970,79642,[H3O]2SiF6,71,P20071494-6,energy gap,eV,4.2
34971,79645,Na6[NpO2]3[MoO4]5[H2O]13,62,P20071495-6,energy gap,eV,4.2
34972,79646,K2IrBr6,225,P20071496-6,energy gap,eV,5.9
34973,79647,PdCl4[NH3]4,139,P20071498-6,energy gap,eV,4.9
34974,79648,Na[NH4]TiF6,60,P20071499-6,energy gap,eV,5.9
34975,79653,H9Cs[IO6]2,9,P20071501-6,energy gap,eV,5.4
34976,79659,Pb11Sb13S30[S2]0.5,2,P20071509-6,energy gap,eV,5.3
34977,79661,NiP,36,P20071513-6,energy gap,eV,3.1
34978,79662,Ba0.5Sr0.5CuSi4O10,90,P20071511-6,energy gap,eV,4.8
34979,79663,Nd11[SiO4][PO4]3O10,1,P20071514-6,energy gap,eV,5.4
34980,79665,Eu11[SiO4][PO4]3O10,1,P20071516-6,energy gap,eV,5.1
34981,79666,Gd11[SiO4][PO4]3O10,1,P20071517-6,energy gap,eV,5.1
34982,79667,Dy11[SiO4][PO4]3O10,1,P20071519-6,energy gap,eV,5.0
34983,79668,Tb11[SiO4][PO4]3O10,1,P20071518-6,energy gap,eV,5.3
34984,79669,Ho11[SiO4][PO4]3O10,1,P20071520-6,energy gap,eV,4.8
34985,79670,Er11[SiO4][PO4]3O10,1,P20071521-6,energy gap,eV,5.0
34986,79671,Sr0.87CuNd0.13O2,127,P20071522-6,energy gap,eV,4.6
34987,79676,Mg0.5Tl5Zr1.5[MoO4]6,161,P20071527-4,energy gap,eV,4.0
34988,79677,Tl5Zr1.5Mn0.5[MoO4]6,161,P20071528-5,energy gap,eV,4.7
34989,79678,Tl5Zn0.5Zr1.5[MoO4]6,161,P20071532-4,energy gap,eV,4.7
34990,79681,Tl5Zr1.5Ni0.5[MoO4]6,161,P20071529-5,energy gap,eV,4.1
34991,79682,Tl5Zr1.5Co0.5[MoO4]6,161,P20071530-5,energy gap,eV,4.7
34992,79683,Cu0.5Tl5Zr1.5[MoO4]6,161,P20071531-5,energy gap,eV,4.6
34993,79684,K[UO2][AsO4]0.44[PO4]0.56[H2O]3,130,P20071535-6,energy gap,eV,4.2
34994,79686,H[UO2][AsO4]0.44[PO4]0.56[H2O]4,130,P20071533-6,energy gap,eV,5.4
34995,79687,Na[UO2][AsO4]0.44[PO4]0.56[H2O]3,130,P20071534-6,energy gap,eV,4.3
34996,79688,Cs[UO2][AsO4]0.44[PO4]0.56[H2O]2.5,130,P20071537-6,energy gap,eV,4.3
34997,79689,CsZrF5[H2O],2,P20071538-6,energy gap,eV,5.4
34998,79691,TlSc[MoO4]2,164,P20071539-6,energy gap,eV,4.1
34999,79693,Bi23[PO4]4O28.5,2,P20071541-6,energy gap,eV,5.3
35000,79697,Na3Bi0.5Sb0.5,194,P20071544-6,energy gap,eV,4.2
35001,79700,Cu0.7Zn0.6Al0.7Se2,122,P20071548-6,energy gap,eV,4.6
35002,79703,Ag7NbS6,7,P20071543-6,energy gap,eV,3.7
35003,79704,Li3Bi0.5Sb0.5,225,P20071545-6,energy gap,eV,3.9
35004,79706,Na1.25Ca2.5Bi1.25[PO4]3[OH],176,P20071553-6,energy gap,eV,4.6
35005,79709,Zn[OH]2,164,P20071554-5,energy gap,eV,3.2
35006,79710,Cd0.3La0.7MnO3,167,P20071555-6,energy gap,eV,3.9
35007,79715,[NH4]2[UO2][MoO4]2[H2O],14,P20071549-6,energy gap,eV,4.3
35008,79719,EuMnO2.95,167,P20071552-6,energy gap,eV,3.2
35009,79725,YCo2.4Ga0.6,194,P20071564-6,energy gap,eV,3.6
35010,79727,Y0.4Ce0.6Pd2Ga,62,P20071568-6,energy gap,eV,3.1
35011,79728,Li0.55Cu0.45InSe2,122,P20071570-6,energy gap,eV,4.7
35012,79729,ZrV0.5Mn0.5Ni,227,P20071562-6,energy gap,eV,3.9
35013,79730,NpOH,225,P20071563-6,energy gap,eV,4.3
35014,79732,Nb5GaSn2,140,P20071569-5,energy gap,eV,3.7
35015,79733,Li0.71Cu0.29InSe2,33,P20071571-6,energy gap,eV,4.3
35016,79735,Zn0.18Ti1.94V0.06Bi1.61O6.62,227,P20071572-6,energy gap,eV,4.4
35017,79739,TbMnSi,129,P20071578-6,energy gap,eV,3.7
35018,79741,Er2Fe12Si2B,136,P20071581-6,energy gap,eV,2.9
35019,79760,U0.8Np0.2O2,225,P20071590-5,energy gap,eV,4.1
35020,79767,ZnLa0.15Bi1.35Sb1.5O7,227,P20071597-6,energy gap,eV,5.0
35021,79769,Zn2La3Sb3O14,166,P20071598-6,energy gap,eV,4.2
35022,79775,Ag1.17GdIn0.83,194,P20071610-6,energy gap,eV,3.4
35023,79776,Ag0.5TmIn1.5,194,P20071614-6,energy gap,eV,3.7
35024,79777,Ag0.5LuIn1.5,194,P20071615-6,energy gap,eV,3.6
35025,79778,Cu3Gd2Sn6,107,P20071617-5,energy gap,eV,3.4
35026,79781,Ag1.17YIn0.83,194,P20071605-6,energy gap,eV,3.7
35027,79784,Ag0.5NdIn1.5,194,P20071608-6,energy gap,eV,3.6
35028,79787,Ag0.5ErIn1.5,194,P20071613-6,energy gap,eV,3.8
35029,79788,Cu3.5Tb2Sn5.5,107,P20071618-6,energy gap,eV,3.1
35030,79796,Tm3Pd4Ge4,71,P20071635-6,energy gap,eV,3.5
35031,79797,CeRuSi2,71,P20071639-6,energy gap,eV,4.2
35032,79798,Yb2MoB6,55,P20071620-6,energy gap,eV,2.9
35033,79805,SmPt0.53Ge0.47,63,P20071634-6,energy gap,eV,4.1
35034,79807,TmPdSi,62,P20071637-6,energy gap,eV,2.9
35035,79809,Zr2Cr4Si5,72,P20071640-5,energy gap,eV,3.9
35036,79810,Hf2Cr4Si5,72,P20071641-5,energy gap,eV,4.1
35037,79813,YRe4Al8,139,P20071645-6,energy gap,eV,2.9
35038,79822,HoMo2Al4,139,P20071667-6,energy gap,eV,3.3
35039,79823,LaRe4Al8,139,P20071646-6,energy gap,eV,2.8
35040,79824,CeRe4Al8,139,P20071647-6,energy gap,eV,2.8
35041,79825,NdRe4Al8,139,P20071648-6,energy gap,eV,2.7
35042,79828,Cu2ZrSi2,139,P20071654-6,energy gap,eV,3.1
35043,79830,Pr2Re3B6,15,P20071659-6,energy gap,eV,3.6
35044,79835,YMo2Al4,139,P20071665-6,energy gap,eV,3.6
35045,79836,TbMo2Al4,139,P20071666-6,energy gap,eV,3.4
35046,79839,Li13Pd15Si12,204,P20071677-6,energy gap,eV,3.8
35047,79840,Ag5.4SmIn6.6,139,P20071678-6,energy gap,eV,3.0
35048,79841,Ag4EuIn8,139,P20100382-6,energy gap,eV,3.2
35049,79843,TmMo2Al4,139,P20071668-6,energy gap,eV,3.3
35050,79845,CaCo2Ge2,139,P20071671-6,energy gap,eV,3.1
35051,79846,CaNiSi2,63,P20071672-6,energy gap,eV,4.1
35052,79847,Ca2Ni2Si7,65,P20071673-6,energy gap,eV,3.4
35053,79849,Sc0.5Co3Sn3,191,P20071682-6,energy gap,eV,3.2
35054,79851,LaSn2Ge,139,P20071686-6,energy gap,eV,4.7
35055,79852,LaSn1.5Ge0.5,63,P20071689-6,energy gap,eV,4.6
35056,79853,PrSn1.5Ge0.5,63,P20071690-6,energy gap,eV,4.5
35057,79856,Sm3SnGe,140,P20071694-6,energy gap,eV,3.2
35058,79857,K2Cu[SO3NH2]3,176,P20071695-6,energy gap,eV,4.7
35059,79861,Cu2UIn,225,P20071685-6,energy gap,eV,2.8
35060,79862,PrSn2Ge,139,P20071687-6,energy gap,eV,4.5
35061,79864,SmSn1.5Ge0.5,63,P20071691-6,energy gap,eV,4.5
35062,79865,CuTb5Pb3,193,P20071697-6,energy gap,eV,3.9
35063,79873,Mg3EuGe3,63,P20071708-6,energy gap,eV,4.0
35064,79876,Cu4Pr3Ge4,71,P20071705-6,energy gap,eV,3.2
35065,79877,Y5Co3.5Ga1.5,62,P20071709-6,energy gap,eV,4.1
35066,79887,Hf6Cr5Si7,62,P20112553-6,energy gap,eV,4.2
35067,79891,MgCu0.14Zn1.86,166,P20071721-6,energy gap,eV,3.6
35068,79893,Zn2.7ZrSn0.3,221,P20071725-6,energy gap,eV,3.2
35069,79895,DyCo0.6Ni0.4,141,P20071728-6,energy gap,eV,3.5
35070,79896,HoCo0.6Ni0.4,141,P20071729-6,energy gap,eV,3.6
35071,79897,Zn2.7ZrGe0.3,221,P20071724-6,energy gap,eV,3.8
35072,79898,ErCo0.6Ni0.4,141,P20071730-6,energy gap,eV,3.7
35073,79899,TmCo0.6Ni0.4,141,P20071731-6,energy gap,eV,3.6
35074,79900,Lu10Co9In20,129,P20071734-6,energy gap,eV,3.1
35075,79902,Sm0.625Lu0.375Ge1.85,63,P20071736-6,energy gap,eV,3.7
35076,79905,Dy2Al2Si,127,P20071737-6,energy gap,eV,3.3
35077,79906,Lu3Fe2Ge3,63,P20071738-6,energy gap,eV,3.4
35078,79909,UNi7Si6,140,P20071741-6,energy gap,eV,3.0
35079,79911,Sm3Ni2Si8,65,P20071742-6,energy gap,eV,4.3
35080,79914,Cu5ThIn,62,P20071746-4,energy gap,eV,3.3
35081,79915,Cu0.05Cd0.95In2Se4,121,P20071747-6,energy gap,eV,4.9
35082,79917,Be2.6ReSi0.4,139,P20071750-6,energy gap,eV,4.0
35083,79918,LuCrB4,55,P20071751-6,energy gap,eV,3.0
35084,79921,SrNiIn4,63,P20071755-6,energy gap,eV,3.6
35085,79922,Au0.6ScGa1.4,194,P20071754-6,energy gap,eV,4.3
35086,79923,Th4Pd10In21,12,P20071756-6,energy gap,eV,3.3
35087,79930,Zn1.7Zr7Ni8.3,41,P20071760-6,energy gap,eV,3.3
35088,79934,Zr2FeD5,130,P20071767-6,energy gap,eV,4.7
35089,79937,Zr3FeD5.0,63,P20071766-6,energy gap,eV,4.0
35090,79938,Zr2FeD1.8,140,P20071768-6,energy gap,eV,4.0
35091,79942,HfNiIn0.5Sb0.5,216,P20071772-5,energy gap,eV,3.1
35092,79943,Cu0.5HfCo0.5Sn,186,P20071775-5,energy gap,eV,3.7
35093,79948,TmCoC,131,P20071779-6,energy gap,eV,3.1
35094,79949,Nd2Fe14B,8,P20071778-6,energy gap,eV,3.4
35095,79950,LiCuGe,225,P20071780-6,energy gap,eV,3.6
35096,79951,K4W[CN]8[H2O]2,62,P20071781-6,energy gap,eV,4.3
35097,79952,ErNi5Ge3,62,P20071782-6,energy gap,eV,2.9
35098,79954,Sc2Ni4P3,189,P20126088-6,energy gap,eV,3.3
35099,79960,LaNi5In,194,P20071787-6,energy gap,eV,3.3
35100,79961,KTbW[CN]8[H2O]7,2,P20071788-6,energy gap,eV,4.2
35101,79962,KDyW[CN]8[H2O]7,2,P20071789-6,energy gap,eV,4.0
35102,79965,V2.4Cr0.6P,86,P20071794-6,energy gap,eV,4.2
35103,79966,KHoW[CN]8[H2O]7,2,P20071790-6,energy gap,eV,3.6
35104,79967,KErW[CN]8[H2O]7,2,P20071791-6,energy gap,eV,3.7
35105,79968,KLuW[CN]8[H2O]7,2,P20071792-6,energy gap,eV,3.7
35106,79969,V1.58Cr0.15P,62,P20071795-6,energy gap,eV,3.3
35107,79970,La2InGe0.5Si1.5,127,P20071800-6,energy gap,eV,3.7
35108,79971,Ce2InGe0.5Si1.5,127,P20071801-6,energy gap,eV,3.3
35109,79973,V10Cr2P7,176,P20071796-6,energy gap,eV,3.5
35110,79974,V0.9Cr0.1P,194,P20071797-6,energy gap,eV,3.5
35111,79976,V0.4Cr0.6P,62,P20071799-6,energy gap,eV,4.2
35112,79982,CaZn3.5Ni1.5,191,P20071807-6,energy gap,eV,3.4
35113,79986,Zn2TiNi,216,P20071810-6,energy gap,eV,3.0
35114,79987,Ca2Zn2Ni5,166,P20071812-6,energy gap,eV,1.2
35115,79988,Ca3Zn0.5Ni1.5,127,P20071813-6,energy gap,eV,4.3
35116,79993,Mo3Mn1.8Fe0.2O8,186,P20071818-6,energy gap,eV,4.0
35117,79998,CaNiIn4,63,P20071825-6,energy gap,eV,3.2
35118,79999,Ca2Mg0.11Mn0.10Fe1.73Al0.06Si5O14[OH],2,P20071820-6,energy gap,eV,4.3
35119,80001,CaNiIn,62,P20071826-6,energy gap,eV,3.7
35120,80002,Y0.75U0.03Gd0.02Dy0.08Yb0.05Ti0.02Ta0.56Nb0.44Fe0.05O4,15,P20071827-6,energy gap,eV,5.0
35121,80010,Ce3Co2Sn7,65,P20071844-6,energy gap,eV,3.7
35122,80013,Dy2NiSn6,65,P20071843-6,energy gap,eV,3.2
35123,80015,Sm2Ni2Sn,71,P20071848-6,energy gap,eV,3.2
35124,80019,Nd4Rh4Ge3,15,P20071853-6,energy gap,eV,4.2
35125,80023,Fe1.9Rh0.1O3,33,P20071857-6,energy gap,eV,3.4
35126,80024,Fe1.62Rh0.38O3,167,P20071858-6,energy gap,eV,3.2
35127,80025,Fe2.27Rh0.4O4,227,P20071859-6,energy gap,eV,3.7
35128,80027,Na0.5Y0.48Nd0.02[WO4],88,P20071861-6,energy gap,eV,3.7
35129,80029,Na0.06Ba2.88YCe0.06[BO3]3,148,P20071863-6,energy gap,eV,4.9
35130,80030,Na0.06Sr2.88LaCe0.06[BO3]3,148,P20071864-6,energy gap,eV,4.5
35131,80031,Na0.06Sr2.88YCe0.06[BO3]3,148,P20071865-6,energy gap,eV,5.0
35132,80034,Cr2Al0.75Ge0.25C,194,P20071868-6,energy gap,eV,3.1
35133,80038,Ba[BF4]Cl,31,P20071871-6,energy gap,eV,6.3
35134,80039,Ca2.75Mn0.25[PO4]2,161,P20071872-6,energy gap,eV,5.1
35135,80039,Ca9.975Mn0.525[PO4]7,161,P20088933-6,energy gap,eV,4.9
35136,80042,BeLaB3O7,31,P20071875-6,energy gap,eV,4.2
35137,80043,Ca2[BO3]Cl,14,P20071876-6,energy gap,eV,4.5
35138,80045,Ba0.96Ca2.89Eu0.15Si10N13O5,8,P20071878-6,energy gap,eV,4.1
35139,80046,Na0.3Sr0.35Zr2[PO4]3,167,P20071879-6,energy gap,eV,4.2
35140,80047,Ba0.15FePb0.15Bi0.7O3,161,P20071880-6,energy gap,eV,4.3
35141,80052,Ag2Pb7Ge4Se4S12,220,P20071886-6,energy gap,eV,4.8
35142,80055,Ca9.5Zn[PO4]7,161,P20071887-6,energy gap,eV,4.9
35143,80057,Sr2.975Ce0.025AlO4F,140,P20071890-6,energy gap,eV,5.2
35144,80058,CuBiTe0.5Se0.5O,129,P20071891-6,energy gap,eV,4.1
