,phase,predicted bg eV,true bg eV
12236,Fe H N O P,4.55660117805618,5.1
28536,Ce Er Na S,4.074150197977342,4.8
13358,Fe Na Se,4.527973359357233,4.8
25695,Na O P Tm,4.537413771313109,4.6
34058,C Cd K N O,4.058988365115656,4.4
2268,Cs O P,4.537413771313109,4.9
6664,F Pr Se,5.557834997963527,6.0
34530,Br Cl O Sr,5.361225375967462,6.1
31668,Bi La Zr,4.069248521457205,4.6
5168,Pb Tb,4.062215674286633,4.2
36480,Bi Fe Nb O Pb,4.074150197977342,4.2
26652,Cl O Se Sn,5.249915989553841,5.8
33925,Br N Th,5.689336676419817,4.6
25563,O Pu Te,4.793725469866164,5.5
18744,Ag P Zn,4.058988365115656,4.0
23619,In O Se,4.537413771313109,5.2
15453,Cl Cu H Mo N O S,4.912689519132831,4.8
1749,Ho O Ti,4.508586004113071,4.8
9737,Na Se Ta,4.496373013391072,3.8
33864,Br Cl Cs F Os,5.169480645563113,6.1
11366,O Sm Sn,4.065717359938177,5.0
35608,Cl K N O Zn,5.120251977715579,4.8
12171,Bi Nd O P,4.527973359357233,5.1
3106,Co Gd Sn,4.058988365115656,4.2
11044,Ba Cu O Ti Y,4.527973359357233,4.2
11598,Fe Ge O Sm,4.534461084299648,4.5
8666,Cr Cu Fe Se,4.06742120315482,3.8
17440,K Na O W,4.527973359357233,5.7
21091,Br C Cl Hg I O S,4.934687178206732,4.6
14544,Nb O Pb Sc,4.537413771313109,4.4
37852,As Ba Fe H O,4.08636318869934,4.5
20762,Cd Ho Pd,4.062215674286633,3.1
8534,O P Rb Tm,4.065717359938177,4.9
5764,Cr Mo P,4.522350470486193,4.1
4894,Ca O Ru,4.5120876897646145,4.4
839,Fe Pr Sn,4.058988365115656,3.2
2548,Lu O V,4.508586004113071,4.0
15218,C Cs H N,4.527973359357233,5.5
5369,Cu Lu Si,4.058988365115656,3.6
13823,Ag Co H O P,4.527973359357233,4.9
9881,Ca Ga Sn,4.065717359938177,4.2
1661,Cs I Sb,5.679749442122709,6.1
39139,Cd Ge Nd,4.062215674286633,4.5
33716,B Mg Pt,4.058988365115656,3.8
29620,In Mn O Y,4.527973359357233,3.6
6407,Ag Ge Sb Te,4.533481826245438,5.4
31317,F Ho Na O Si,4.865504255848193,4.5
24028,Fe Pd Se,4.527973359357233,3.5
9715,B Rh Th Y,4.058988365115656,2.9
18870,Cr O P Sr Zr,4.537413771313109,4.8
16384,B Ba Na O,4.0831358795283625,5.3
3326,Cs Sb,4.065717359938177,4.8
18669,K Na Ni O P,4.07768135949637,4.1
6207,Cs Er Mo O,4.074150197977342,5.1
14970,Ba O P Sc,4.537413771313109,4.5
36001,Ce Cu Eu La O Ru Sr,4.065717359938177,4.4
36600,O Pu Si Sr,4.065717359938177,4.9
38556,C H O Os S,4.552208182408266,4.2
8746,F Mn Tl,5.819747852313267,5.2
34277,Cl H N O Re,5.2869353829374806,5.4
10668,Er Re Si,4.062215674286633,4.0
22621,Cs S Sb Sn,4.537413771313109,4.8
12854,B C Co Ni Y,4.058988365115656,3.2
3798,Pb Te U,4.5930734732609615,5.1
28938,Li Mn Se,4.527973359357233,3.8
17937,Ge O Rb U,4.508586004113071,4.9
13692,Pt Te Zr,4.5930734732609615,3.8
18595,O Pr Sb Zn,4.522350470486193,4.5
15257,Ge Mo Tb,4.062215674286633,4.0
10109,Ru Sc Si,4.058988365115656,3.8
22124,Ba Bi La Se Sn,4.498760430791357,5.0
13651,Cl Co H N O S,4.914123668201945,4.6
8778,Al Ca Fe O,4.070952364673849,4.2
37282,Cu Ge H O U,4.534461084299648,4.3
39308,Bi I Te Tl,5.441822770328339,4.8
16027,F O Sc Se,5.25865274192524,5.0
38225,K N Np O,4.089864874350884,4.8
28282,Mg Na O V Yb,4.527973359357233,4.1
5322,Ge Os Sc,4.062215674286633,4.1
26008,H I N O Sn,5.179493543378284,5.6
27536,B Ga H O Rb,4.527973359357233,4.9
14451,Hg Na Pb,4.522350470486193,3.4
1688,Cu In Tb,4.058988365115656,3.9
35586,Ga La Os,4.062519526634685,3.8
5145,Au Tl,4.058988365115656,3.4
25686,Ca F Li U,5.582554356358536,4.6
13678,As Fe H Na O W,4.527973359357233,4.3
36963,H Na O Tm W,4.527973359357233,4.2
23948,As Ba H O U,4.527973359357233,4.7
32186,As H N O S,4.55660117805618,5.5
8714,Ca Fe O Sb,4.527973359357233,4.6
15330,Ge Mn Sm,4.062215674286633,3.3
14448,Ga Pt Zr,4.058988365115656,3.6
35308,Al Nd W,4.058988365115656,3.5
32941,Ba Ca O Pd,4.527973359357233,4.3
30554,Ge In Mn Tm,4.062215674286633,3.6
12650,Bi Cu O Pr Sr,4.527973359357233,4.8
18356,Cu H N O Si W,4.55660117805618,4.4
33440,Cs Na Te,4.793725469866164,4.9
8672,Ce Ga Si,4.065717359938177,4.7
27532,Ca N V,4.081432036311719,4.6
29434,Ga Mg Pd,4.058988365115656,4.0
5244,Al Lu Mn,4.058988365115656,3.2
38675,Cu N Na O S,4.0831358795283625,5.0
38685,Ba C H K O S,4.534461084299648,4.3
4993,Bi Mn O,4.527973359357233,5.4
24031,O Pr Sc Sr,4.065717359938177,5.4
9060,Eu Np O,4.527973359357233,4.1
20080,C I Mo O,5.282379287812984,4.9
1563,Li S,4.492871327739529,5.3
10559,Co Cr Ho,4.058988365115656,3.3
39360,Ag Cl Cs Y,5.597363108982806,5.9
8314,Se Tm Yb,4.062215674286633,4.3
201,Pt Si,4.058988365115656,3.2
35297,Fe Nb S Se,4.527973359357233,5.0
5449,Mo Pb S Te,4.534461084299648,4.6
30577,Al Er Mn Si,4.058988365115656,3.9
16402,Br Cl Mn Rb,5.577354799534553,6.7
35162,H K O Ti W,4.527973359357233,3.3
30252,Eu Ge H K O,4.534461084299648,4.5
22364,Co Dy Ni,4.058988365115656,3.5
10047,Li N,4.077930350660176,4.5
34131,Cd H N O Os,4.55660117805618,4.4
27952,Ba Er O Ti,4.527973359357233,4.4
23118,H K Ni O P W,4.089864874350884,4.6
29074,Er Mn Mo O,4.070648512325796,3.9
25659,Cu K La O,4.0831358795283625,4.1
15371,La O Os P,4.5120876897646145,2.9
8753,Ca Eu O Ti,4.527973359357233,3.4
19931,Cs Li Nb S,4.074150197977342,3.9
8201,Ba Fe O W,4.527973359357233,4.1
33267,Br C Mn O Sn,4.8465355453509575,5.3
4125,B W Y,4.058988365115656,3.6
27488,Na Nb O P V,4.527973359357233,4.1
23384,Ca Li Nd O Ti,4.074150197977342,4.2
6324,Te Tm Yb,4.065717359938177,4.8
10926,Mn Nb P,4.522350470486193,4.0
15154,H Na Ni O Sb W,4.07768135949637,4.6
7149,Lu O Zr,4.508586004113071,5.1
30596,As Li Sr,4.062215674286633,5.1
34337,B K Lu O,4.0831358795283625,5.0
17926,Cd Cs Nd Te,4.08636318869934,5.2
22784,Mn Ni Si Sm,4.058988365115656,3.8
33123,F K Pd Zr,5.719930439385413,5.3
4677,Ba Cu Dy O,4.074150197977342,4.0
29973,B Be F K O Sr,5.126823544396498,4.6
18788,Co F O Te,5.30002427495201,5.6
1769,Mg Ni Y,4.062215674286633,4.7
18188,Mo Ni O Te,4.527973359357233,4.3
17284,Cl H Hg N O,5.238935920929213,6.4
25714,Cr K P S,4.526994101303023,4.4
15094,Ba Fe Mn O Y,4.074150197977342,4.8
39602,Cl Os Rb,5.865863222627155,5.7
5661,Bi Cd Sr,4.065717359938177,4.2
37804,Cl Co H N O Se,4.914123668201945,5.3
4309,Fe Ta W,4.058988365115656,3.2
6807,F H K O Sn,5.240291623550501,6.1
24749,Ce Cl Nb Nd O,4.975291506062292,5.6
32364,Co Ge Mg O Y,4.06742120315482,4.4
3541,Ho Sn,4.062215674286633,4.2
37706,C Cr N,4.522350470486193,4.0
13839,Ce H O P,4.562311629645546,5.6
38363,C H N Ni O Re S,4.5464977308189,5.1
1967,F Na U,5.960731855449834,6.5
39207,F Li O Si Y,4.918598482516527,5.5
22294,Ce O Pr Sm,4.5120876897646145,3.8
965,In Zr,4.062215674286633,4.1
3772,Na Nd S,4.527973359357233,5.2
2442,Cl Cs Ta,5.983488458384967,6.1
13512,Co Cs I Pr,5.126823544396498,5.7
29883,Ba Co La Ni O Ta,4.065717359938177,4.0
20914,Na O W Zr,4.5120876897646145,4.4
13670,Al Dy Pt Si,4.058988365115656,3.9
2527,F Na Ti,5.944581785865909,7.3
747,Ca Mg Si,4.065717359938177,4.2
108,Al Sc,4.058988365115656,4.4
21273,La Mg Mo O Sr,4.074150197977342,5.4
38993,C Cl Fe O Si,4.982053861897558,4.9
6287,Cs Ho O W,4.527973359357233,4.6
39961,Bi I Pt,5.65505130206555,4.7
4841,Cu In P Se,4.526994101303023,5.1
32039,Cs F Pd Rb,5.628026024028733,6.8
13377,Cd Na Pb,4.522350470486193,4.6
33919,Cs F O Rb Ti,5.129226642749654,5.6
36576,Eu H K O Sb W,4.536834847924909,4.9
2073,Br Tb,5.895090497956715,6.6
2427,Ca F Yb,5.679959758928935,5.1
6887,Ba Ca Na Nb O,4.069248521457205,4.7
27882,Cu O Pb Sn,4.537413771313109,4.5
24951,Ba Be F O P,5.126823544396498,4.8
39161,Ce Co Mg,4.065717359938177,3.1
18603,B H O P Ti,4.562311629645546,5.4
7898,Br Cs H N O Pt,5.101849491257025,4.9
7196,B Cr Yb,4.058988365115656,3.2
7792,Ga Ge Li O,4.06742120315482,4.4
5135,Er O Rb W,4.508586004113071,5.3
2016,O Pb Ru,4.065717359938177,4.4
20864,Cu Hg La O Sr V,4.06742120315482,4.3
39337,Eu Hg Pb,4.522350470486193,3.7
33574,H I N Te,5.30002427495201,6.3
12576,O P Pb S,4.533481826245438,5.4
26851,Bi Cd Na Nb O,4.065717359938177,4.3
24696,Al In Mg O,4.06742120315482,4.3
31421,B F Gd O,5.282379287812984,4.6
24720,Li Mn O V,4.527973359357233,4.5
8409,Ca Ga O Sn Ta,4.527973359357233,4.6
14116,Ge Na O Zr,4.527973359357233,5.2
29722,As F O Sr Ti,5.106722274211433,5.5
110,Al Si,4.058988365115656,3.4
14818,Dy Ho Y,4.062215674286633,4.5
33643,Ba Cs H N,4.527973359357233,4.0
35124,Cr O Se,4.537413771313109,4.8
36399,F H Na O Rb W,5.254326493014353,4.6
7887,F H N Zr,5.65633156416826,6.1
2968,F K Nb,5.975228129581673,6.1
21599,Cr Fe Ga O,4.06742120315482,5.2
30235,Mg Na Sn,4.065746835805662,4.3
13293,Ce Cu Gd Hg O Sr Ti,4.065717359938177,3.5
32431,Al Cu O,4.527973359357233,4.4
18070,B C N,4.528838195428608,4.3
34670,Ag F O S Sb Te,5.070491851270898,5.6
36799,Ba Cu La O Ti Zn,4.074150197977342,4.0
8806,Ce Eu Se,4.527973359357233,4.9
831,Eu O Y,4.5120876897646145,3.9
16702,Ca Ge Hf O,4.074150197977342,4.6
31276,Ce Cu Gd Nb Nd O Ru Sr,4.065717359938177,4.1
2355,O Ti Zn,4.065717359938177,4.5
37773,H In K O Si,4.074150197977342,4.6
33304,I K Os Pr,5.8105705474002916,6.7
10157,Al Pt Tb,4.058988365115656,3.5
9598,Pr S Y,4.496373013391072,4.0
12204,Fe Lu Mo N,4.058988365115656,3.0
21343,H Na O Pb Si Zr,4.527973359357233,4.6
5471,Mn Na Sb,4.522350470486193,4.0
19271,K Mn Mo Na O,4.065717359938177,3.9
36312,Ge K Nb O Si,4.08636318869934,4.9
24937,Bi S Sb Sn,4.537413771313109,5.0
22750,Ba Cu Er Gd O,4.065717359938177,4.4
268,Ni Tb,4.058988365115656,3.7
13427,H Mo N O Te,4.526994101303023,5.0
35675,Al H K O W,4.536834847924909,4.5
25648,H K Mn O P W,4.089864874350884,4.6
33928,Co Nb O U,4.527973359357233,4.1
8025,Er Mo O Rb S,4.527973359357233,5.2
35144,Cu S U,4.489644018568552,4.0
11133,B Ba La O,4.0831358795283625,4.6
17172,Bi F O Y,5.5866012862662044,4.2
40014,La O Sr Zr,4.5120876897646145,4.4
13365,La O Si Ti,4.51498981838962,5.4
3569,Co Mn Ti,4.058988365115656,3.7
6891,Li S Sn,4.495773456364534,5.0
5793,Cu Ga Li,4.058988365115656,4.4
17476,C Cd Cs H O Zr,4.06742120315482,5.0
33477,Ba Cu Na O Pt,4.074150197977342,3.6
4362,Li S V,4.492871327739529,4.6
5441,Mo S Se Sn,4.537413771313109,4.6
33393,C F I N O,5.069155007281467,5.8
967,Ag Li Si,4.058988365115656,4.2
22883,Cu N P,4.528838195428608,5.2
29184,Ba Bi Sn,4.497873352194031,4.6
15699,Ba Cu Nd Ni O,4.065717359938177,4.6
30873,Ga Gd Ni S,4.06742120315482,4.1
16001,Mn O Sb,4.537413771313109,4.7
27072,Cl Li Mg Na,5.788569984869634,5.9
12088,Ba Co Nb O,4.074150197977342,3.9
36205,Ba Bi O Sr Ta,4.537413771313109,4.3
8651,Ba Ni O Yb,4.527973359357233,4.0
26607,Cu Eu S,4.527973359357233,4.0
35383,Ge Mo Ti Tm,4.062215674286633,3.5
3254,Be Ca,4.062519526634685,4.7
29578,Al C Fe La Te,4.058988365115656,4.5
28271,Ca Fe Ge O Si,4.074150197977342,4.5
1593,Ca Cl O,5.657538890569516,5.8
451,O Sb,4.065717359938177,5.6
35552,B Br Y,5.668862978049122,5.8
26006,Cs Ge I O,5.133311269338913,5.6
33269,B S Sr,4.489644018568552,4.7
20735,Dy Mo O Y,4.527973359357233,4.2
9774,B Tm W,4.058988365115656,3.5
27891,C K N O S U,4.526994101303023,4.7
33031,Ag F Hg Zr,5.578612463882035,5.9
5424,Ba Mo Se,4.527973359357233,5.2
31634,Eu Li Mo O Sr Zn,4.074150197977342,3.5
9024,Co Nb O Sr,4.527973359357233,4.9
4560,Cu Ge Hg Se,4.06742120315482,4.7
22771,Cu Ga Pr S,4.06742120315482,3.6
17344,Al Lu Si,4.058988365115656,3.3
2913,Ca O Sm,4.5120876897646145,3.9
690,Al Pd Ti,4.058988365115656,3.3
3175,Fe Ga Nd,4.058988365115656,3.4
16844,Cr Ho O Te,4.527973359357233,4.7
24136,Ba Ca Co N,4.069248521457205,4.0
23609,O Sc W Yb,4.065717359938177,4.8
18662,Co H O P Pb,4.562311629645546,4.1
31484,Cd Mo O Sb,4.527973359357233,4.9
29281,Fe K Na O,4.0831358795283625,5.0
10316,Cd P Pd,4.062215674286633,2.5
27227,Bi Br Cd S,5.282379287812984,4.4
38739,Bi O Pd Sr,4.5120876897646145,4.1
18160,Al B H K O,4.527973359357233,4.5
35188,H K O Si Y,4.527973359357233,4.8
1318,In Sm,4.062215674286633,3.6
21975,C I Li N Sr,4.982053861897558,5.9
37874,Cs H Ir O S,4.536834847924909,5.3
2285,Fe Ga O,4.527973359357233,4.2
4587,O Sb Zn,4.065717359938177,5.2
882,In Pb,4.062215674286633,4.2
14464,C Co Mg,4.058988365115656,3.6
16508,Al Ta U,4.058988365115656,3.7
23001,Ag Cr Mn Mo O,4.058988365115656,4.0
30635,Pb Se Tl Zr,4.495773456364534,4.7
10034,C Cs,4.0747030414892,4.3
18764,La Nd O Si,4.527973359357233,4.7
22736,Ag Ga Ge S Se,4.06742120315482,5.0
19244,Eu Mo O Sm,4.527973359357233,4.8
25,Ca O Ti,4.5120876897646145,4.7
17332,B Na O Tl,4.527973359357233,4.7
12532,F H K Sn,5.663264846109869,6.1
11796,Ca Mn Na O V,4.074150197977342,4.8
23312,Ba Ni O Os,4.527973359357233,4.9
8087,Ca Ho O Ta,4.527973359357233,3.3
32426,F K O Se,5.593053623780456,5.9
11879,Cd H O Sn,4.562311629645546,5.3
9516,Mn Sn Tb,4.058988365115656,3.8
4719,Cu Dy Pb Se,4.526994101303023,4.0
3980,As Li Mn,4.062215674286633,4.3
29044,Ga In O,4.527973359357233,4.7
28500,As Ba O Pr Th,4.527973359357233,4.2
2454,Cl F Ta,5.708652598166587,5.8
29943,B F H Na O U,5.039760911006283,4.8
34278,B Cl H La O,5.120702712888002,5.2
15601,Au Nd Zn,4.058988365115656,2.8
35857,Ge Rb Se Sm,4.527973359357233,4.4
25568,Ag C Eu H N O,4.06742120315482,4.4
758,Ce Ge Pt,4.065717359938177,3.9
28961,Er In Mn Zn,4.062215674286633,2.8
12534,Fe Ga Mn O,4.06742120315482,4.4
21917,In La Si,4.065746835805662,4.2
36747,Bi Pr Sb,4.522350470486193,1.4
11856,O Rb V W,4.081432036311719,4.4
12495,Mn Se Yb,4.489644018568552,4.7
29672,Ba H O Sc Zr,4.559706726132433,4.4
8539,Dy O P Rb,4.537413771313109,4.8
11277,Ga O Si Sr,4.5082608235671,4.9
23168,Ca Cu F O Sr,5.126823544396498,3.8
36734,Eu O P Zr,4.537413771313109,4.2
19773,B C N Sc,4.528838195428608,2.7
4586,Cr O Zn,4.505358694942094,5.0
23954,Fe Na O Se,4.527973359357233,5.4
2984,Ga S Sn,4.492546147193558,5.2
35399,Dy K O Ti,4.527973359357233,4.6
1293,Ga Nd,4.058988365115656,4.3
27264,Al B H O Rb,4.527973359357233,4.4
39020,F Sb Sc,5.729647105847701,6.2
31549,F H N O Sr U,5.172440786877059,4.7
24052,Co O Sb Sr,4.537413771313109,4.0
3027,O S Sm,4.496373013391072,4.9
20164,Cd Cl O Te,5.30002427495201,5.5
19124,Ba Nb O Sm Ti,4.527973359357233,4.7
11932,Bi O Sn Zn,4.51498981838962,5.3
31659,Bi Ca Mg O Pb V,4.07768135949637,4.2
36528,Ag La Ni,4.062519526634685,3.5
35908,C Cl H Mo N,5.120702712888002,5.3
28306,Au Ga Lu,4.058988365115656,3.1
37019,Cs In Mo O Ti,4.074150197977342,5.0
12056,Cd Nb O Sm Sn,4.527973359357233,3.8
24462,C Na O Sn,4.527973359357233,5.4
34611,Cu Lu Se Tl,4.527973359357233,4.4
15200,Mg Pd Sr,4.062215674286633,4.8
9950,Al Na Sb,4.522350470486193,5.1
1360,La Ni Sn,4.065717359938177,4.4
14987,Cu Fe H Na O S,4.527973359357233,5.1
32325,As Br O Pb,5.3177945998091865,5.1
20544,As Ca F H,5.126823544396498,6.7
7448,Fe N Pr Ti,4.0747030414892,3.1
30792,F Mn Na O S,4.862297420595055,4.9
25121,Al Ca Co O Pr,4.070952364673849,4.6
28923,Ba N O V,4.534461084299648,5.0
5621,Os Si Y,4.058988365115656,3.7
10260,C Gd Mn,4.058988365115656,4.5
20386,Cs Ga H O Se,4.527973359357233,4.1
20312,Ge Sn Zr,4.062215674286633,3.6
1250,Fe Ge Ho,4.058988365115656,3.3
19080,Br Cl Hg,5.590373916914781,5.3
37799,C F Ir O Sb,5.02893849556163,5.7
17906,Ba F Fe S,5.282379287812984,4.5
38950,Bi Ca Ce N,4.069248521457205,4.3
37175,Ba Bi Na O Zr,4.498760430791357,4.2
21467,Ba La Mn Nb O,4.069248521457205,4.6
27247,Al Ca Mn O,4.070952364673849,3.8
25207,H Mn Sn,4.065717359938177,3.7
23158,Lu Nb O Pb Sc,4.527973359357233,4.1
17517,Al F H O,5.282379287812984,4.9
33402,Br O Ta Te,5.280785061097941,6.1
9556,Ge Ho Ru,4.062215674286633,3.8
38121,As Cl Nd O,5.282379287812984,5.1
33224,Li P S Zn,4.534461084299648,4.5
28636,Ce F H N O P,5.032998555171017,5.4
13240,Br Cs W,5.967308209103106,6.3
16196,Cu La O Ru,4.527973359357233,4.0
21396,As Au Sm,4.062215674286633,4.0
15684,Cl La O Ta,5.210465679282026,5.3
17080,B Ba La O Sc,4.0831358795283625,4.7
21083,Fe K Na O Si,4.0831358795283625,4.2
22747,C Fe Ti Tm,4.058988365115656,2.9
886,In Pd Sn,4.062215674286633,3.6
6436,Ho O Ta,4.508586004113071,4.6
31722,Fe H N O Se,4.55660117805618,5.0
40570,Fe H Ho Ti,4.526731400687629,3.3
12923,C Cl P,5.661775524098574,6.7
5179,H Mo,4.065717359938177,4.2
35946,K Li O Sb,4.527973359357233,5.2
2726,Ca F Pr,5.668862978049122,3.4
26237,Ca Ir Sn,4.065717359938177,4.2
8951,Pt Sn U,4.058988365115656,4.1
4460,Dy Fe O,4.527973359357233,3.5
38215,Fe Mo Na O Sr,4.06742120315482,4.2
3660,Eu Ge Ni,4.065717359938177,3.7
6852,In O Si,4.5114881327380765,5.5
2895,Br Cs U,6.003906781937146,6.5
38708,C H K Na O,4.534229944411796,4.4
24247,Pb S Sm Sn,4.492871327739529,4.3
17494,As Cd Cl O,5.126823544396498,5.2
36164,Al Ca Fe Na O Si Ti,4.062519526634685,4.1
4155,Al Co Sm,4.058988365115656,3.5
34085,Cs F Ni O Ta,4.979829609542831,4.3
29686,Ba Fe Mn O W,4.074150197977342,4.2
23678,Ca O P Sr Zr,4.537413771313109,4.2
30135,Ho O S W,4.537413771313109,4.4
14735,Cl Hg O,5.444880905414172,4.1
36402,H O P Ta W,4.537413771313109,4.9
33379,Ag Ba Mn O V,4.0831358795283625,4.1
30660,Ce O Sr Ta,4.5120876897646145,3.8
18799,Ba Ga Ge Sn,4.065717359938177,3.9
8055,Cs Dy Mo O S,4.074150197977342,4.5
31087,Bi Cl Ga Se,5.282379287812984,5.7
38114,C Mo Pr Si,4.058988365115656,3.6
26564,P S Sr Tl,4.492871327739529,4.6
9205,I Pu,5.89750622120393,4.5
27547,F N O Zn,5.293087767128053,4.9
5866,Ge O Yb,4.508586004113071,5.0
17357,Cs Ga H N O P,4.527973359357233,5.2
25159,Fe K P S,4.526994101303023,3.7
35438,B Co H O Rb,4.527973359357233,4.6
29545,H Mg Ti,4.065717359938177,4.5
16474,Br O Pb,5.676977254653024,5.6
32483,Co H N Na O,4.553996274543067,5.1
768,C Fe Mn,4.058988365115656,3.0
34427,Ba La Nb O Sr,4.07768135949637,4.1
14402,Dy In Sn,4.062215674286633,3.2
30581,Co Li O S,4.527973359357233,5.1
28499,Co H Sn Zr,4.537132073036802,4.1
16074,As Ca Ga Na,4.065746835805662,4.5
5839,Pd Pr Zn,4.058988365115656,3.1
13152,Al B Fe Mg O Ti,4.058988365115656,3.1
27225,Cr Fe La O Sr,4.06742120315482,3.4
7583,Ce F O Pr,5.582554356358536,5.6
8008,Ba La Mo O,4.07768135949637,4.7
40196,Co Fe Mn O P,4.06742120315482,4.6
2302,F Na Si,5.924945268299971,5.3
12188,In O Pb,4.537413771313109,4.5
5219,B Dy Ir,4.058988365115656,2.9
26041,Ba Ca Cu La O Pt,4.069248521457205,3.9
2710,Be F Na,5.679959758928935,5.9
23405,Cl Tc,5.869457993868984,6.1
15448,C H Ir Mn N O,4.526731400687629,4.2
19122,Ce Lu O S,4.527973359357233,4.6
39986,Ce Ge Mg Se,4.074150197977342,3.7
13058,Co Ge Se,4.534461084299648,4.3
38426,Br Gd Ge,5.822519726795702,3.7
30114,Cu Na O Te Tl,4.527973359357233,4.8
3228,Au Sr,4.0747030414892,4.2
16929,Cu Ga O Sr Tm,4.527973359357233,5.0
32055,H Na O Se Sn,4.527973359357233,5.3
5982,Ge O Sb Tb,4.537413771313109,4.8
13637,C Cr H N O,4.527973359357233,5.1
8068,Bi O W Zn,4.5120876897646145,5.3
30121,Ba Np O P,4.527973359357233,4.2
25725,H O P Te Tl,4.537413771313109,5.3
26931,Ca La O Ru Ti,4.527973359357233,5.0
3957,Al U Zr,4.058988365115656,3.1
14585,Ge Ho Ir Nd,4.062215674286633,4.5
7646,Al Nd S,4.527973359357233,3.7
12158,Na Nb O Sm,4.527973359357233,3.9
11733,Al La Mg S,4.070952364673849,4.8
8481,Bi Mg O V,4.527973359357233,5.3
133,Ca Li,4.065717359938177,4.6
20020,Co O P Sm,4.537413771313109,3.8
35782,C Cl Fe H Li O,4.905269334319863,5.1
4613,Al Ce Nd O,4.06742120315482,4.7
19429,As H La Ti,4.526731400687629,4.7
34952,Bi O Sm Yb,4.5120876897646145,4.7
175,Ho Pt,4.062215674286633,3.6
36721,Ce P Ru,4.065717359938177,4.2
10508,Gd La Tl,4.065746835805662,4.2
9711,B C Mo W,4.058988365115656,3.6
38674,Cu H I N O S,5.113320634225607,4.5
8524,Ba Ca O Ti Y,4.527973359357233,3.8
28022,Cr Li Mn Ni O,4.058988365115656,4.6
5647,Cs Fe Ga S,4.074150197977342,4.2
13213,C Co Cs Li N,4.058988365115656,4.8
5423,Al Ga Yb,4.058988365115656,3.5
35197,Ge H O Sm,4.559706726132433,4.7
27459,Co Fe Na O V,4.06742120315482,3.8
15832,La Pb Zn,4.065717359938177,4.6
981,Al C Si,4.058988365115656,4.1
27472,Ga In Ni Tm,4.058988365115656,3.3
2569,O V Yb,4.065717359938177,4.8
13966,Cs Fe H O S,4.527973359357233,4.7
35991,Ba H O S Te,4.562311629645546,4.7
11498,Fe Nd O Ti,4.527973359357233,4.2
15985,B Cs Li O P Sr,4.0831358795283625,3.8
34102,Ge Sr Zn,4.077930350660176,3.8
24189,Ga H Mo N O,4.536834847924909,5.1
36313,H Li O P Tl,4.527973359357233,5.4
19788,F Ga Mn O Sr,4.864297903112676,4.9
7023,Ca Fe Gd Ge O,4.065717359938177,4.4
27255,Cd Nd Pd,4.062215674286633,3.4
2148,Hg I,5.683764199993599,5.6
15708,Cu Nd Ni O Sr,4.06742120315482,4.6
4356,Ge Li Yb,4.062215674286633,4.2
6021,Ce Ga S Sr,4.527973359357233,4.6
15636,C Cl H N O,5.120702712888002,5.7
39754,Co H I K O V,5.110715730712495,4.4
28856,Cl Rb Re,5.9705699793479265,5.4
11180,Al O Sb,4.537413771313109,5.1
7511,Cu Dy Ge S,4.06742120315482,3.5
404,F Yb,5.87993718266874,5.8
2379,As Fe Ge,4.062215674286633,2.7
27081,Ba Cu O Pr Ru,4.527973359357233,4.8
1517,As Er,4.062215674286633,3.9
21419,Fe O Sb Ti,4.537413771313109,3.3
8181,O Rb S Sc,4.527973359357233,4.4
34820,Cl Ge Nd O,5.265858644868826,5.0
33775,Br Sm Tl,5.830618949573229,5.4
5949,B O P Pr,4.537413771313109,4.3
4253,H Ni Ti,4.065717359938177,3.5
1648,Co Mn O,4.527973359357233,3.9
33725,B Br C Ce,5.582554356358536,5.8
3729,Al Co Cu,4.058988365115656,2.9
35313,Al Lu W,4.058988365115656,3.7
29859,C Gd H K N O,4.527973359357233,4.5
28186,La Li O Sr,4.527973359357233,4.3
15287,Al Hf Sn,4.058988365115656,3.7
5991,H In O Se,4.527973359357233,5.5
29290,Ba O Sb Sr,4.537413771313109,5.2
22614,Ca Ge Pb Sr,4.528838195428608,4.3
39082,Al Co Fe Ti,4.058988365115656,3.4
25094,Er I Ru,5.65505130206555,5.1
10898,Nb Pd Te,4.793725469866164,5.9
33637,Al H I N,5.113320634225607,5.4
7968,Cs Dy Mo O,4.074150197977342,5.0
3555,Co Ga Ho,4.058988365115656,4.4
21005,As Eu H O W,4.527973359357233,5.4
31437,Mo Nd O Sm,4.527973359357233,4.6
29390,H Li N O Pd,4.526994101303023,4.7
31328,Al C Mo Ti,4.058988365115656,3.4
8580,Ba Fe O Te,4.527973359357233,3.8
18395,H K O P Sb W,4.527973359357233,4.1
28267,Ca Cr Fe Ge O,4.065717359938177,4.6
29200,Al N O Si Sr Yb,4.534461084299648,4.3
13114,Na O Si Yb,4.51498981838962,5.4
36195,Fe Ge Sn Tb,4.058988365115656,2.4
29724,Ag B H O U,4.527973359357233,4.3
6550,In Nb O Sm,4.527973359357233,5.5
8966,Bi Cu La O Pb Sr,4.074150197977342,3.9
35119,Hf O Sn,4.5114881327380765,3.8
9676,Co Ni Pr Y,4.058988365115656,3.5
25606,Bi Mn O Sb,4.527973359357233,5.0
17453,Ag Ga Mg,4.058988365115656,4.7
33535,Ba Ce N,4.522350470486193,3.9
39713,Ag Ge Mg Sn,4.058988365115656,4.6
33939,C In Mn O,4.06742120315482,5.0
15511,O P Sr U,4.065717359938177,4.1
3746,Mn P Zr,4.058988365115656,4.2
